,Ticker,Open,High,Low,Close,Volume,Change,ChangePercent,Type,MarketCap,SharesFloat,SharesOutstanding,SharesShort,SharesShortRatio,SharesShortPercentOfFloat,SharesInsidersPercent,SharesInstitutionsPercent,Beta,TotalAssets,NAV,Date
2028,HCCH,11.1,11.3,10.99,11.3,19275.0,0.40000057,0.036697302,EQUITY,74136480.0,8225.0,6560750.0,73478.0,0.88,0.0138,0.18685,0.40219003,-0.017626,,,2020-11-05
2029,HCCI,17.23,18.29,17.23,18.16,110381.0,0.97999954,0.057043046,EQUITY,435712864.0,12222045.0,23993000.0,225319.0,5.66,0.0177,0.35522,0.61859,1.373167,,,2020-11-05
2030,HCCO,9.53,9.7801,8.82,9.22,380824.0,-0.13000011,-0.013903755,EQUITY,294579008.0,,,,,,,,,,,2020-11-05
2031,HCFT,2.56,2.73,2.56,2.69,49722.0,0.13000011,0.050781295,EQUITY,67097748.0,18858944.0,24938900.0,18501.0,0.38,0.00090000004,0.10994001,0.42005002,1.355129,,,2020-11-05
2032,HCHC,2.17,2.33,2.15,2.27,601694.0,0.119999886,0.055813897,EQUITY,107316520.0,33402465.0,47276000.0,3723952.0,10.91,0.1039,0.28463,0.45655,2.091882,,,2020-11-05
2033,HCI,48.95,49.25,47.89,48.0,56686.0,-0.91999817,-0.018806178,EQUITY,383260320.0,6207940.0,7984590.0,370679.0,9.68,0.072399996,0.22248,0.62003,0.664599,,,2020-11-05
2034,HCKT,14.39,14.73,13.53,14.44,130370.0,0.029999733,0.0020818692,EQUITY,434080832.0,24863147.0,30061000.0,293099.0,1.98,0.0109,0.17332001,0.80964,0.735625,,,2020-11-05
2035,HCM,32.35,33.5,32.35,33.03,178703.0,1.0299988,0.03218746,EQUITY,4400454656.0,62166304.0,142204992.0,1057569.0,7.2,,0.0641,0.34056,0.886075,,,2020-11-05
2036,HCSG,22.45,23.72,22.26,23.49,581691.0,1.039999,0.04632512,EQUITY,1748219776.0,73942477.0,74424000.0,11126630.0,21.94,0.19510001,0.0064700004,1.13922,0.400789,,,2020-11-05
2037,HD,288.35,288.998,284.08,285.85,2514260.0,3.130005,0.01107104,EQUITY,307706101760.0,1074862360.0,1076460032.0,6224274.0,1.98,0.0058,0.00097000005,0.71984,1.117249,,,2020-11-05
2038,HDB,61.4,62.42,61.27,62.33,1191733.0,0.8900032,0.01448573,EQUITY,93740580864.0,9070214523.0,1835079936.0,6168530.0,5.2,,0.0,0.18347,0.811083,,,2020-11-05
