,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,CRL,202.32,201.27-210.05,3690000000.0,202.11,198.02-460.21,8.76,875473.0,10360000000.0,N/A(N/A),520844.0,23.59,1.29,-53.62%,50863307.0,02/11/2022,2022-09-15
0,PEI,4.45,4.09-4.6,298.29M,4.32,3.236-30.75,-25.67,23733.0,23.82M,N/A(N/A),119176.0,-0.21,2.65,-83.96%,5438164.0,01/11/2022,2022-09-15
0,SMFG,6.02,5.98-6.07,1580000000000.0,6.0,5.695-7.74,400.32,2044972.0,41210000000.0,0.15(11.28%),2591086.0,10.48,0.839,-17.19%,1371224701.0,16/11/2022,2022-09-15
0,AGM,103.94,103.53-105.51,282.08M,104.0,90.38-137.01,12.47,32102.0,1120000000.0,3.80(3.61%),28314.0,8.61,0.951,6.81%,10797419.0,10/11/2022,2022-09-15
0,BBVA,4.87,4.88-4.995,11820000000.0,4.89,3.93-7.255,0.888,1632997.0,29590000000.0,0.3485(7.07%),2840727.0,4.84,1.85,-25.76%,5935449160.0,28/10/2022,2022-09-15
0,CCO,1.83,1.8-1.985,2400000000.0,1.8,0.907-4.1,-0.281,2306765.0,892.78M,N/A(N/A),2589356.0,-5.99,2.61,-25.91%,476151123.0,09/11/2022,2022-09-15
0,CM,48.2,47.96-48.92,9860000000.0,48.14,45.09-66.24,6.98,771136.0,43810000000.0,3.32(5.17%),835443.0,8.89,1.01,-16.02%,904657375.0,01/12/2022,2022-09-15
0,NOA,11.65,11.23-11.55,691.7M,11.49,10.36-17.79,1.78,20270.0,306.54M,0.2459(2.18%),36214.0,9.48,1.53,-22.23%,27175336.0,01/11/2022,2022-09-15
0,PMT,14.81,14.49-15.04,870.38M,14.75,11.64-20.72,-1.92,775500.0,1320000000.0,1.88(12.93%),1123591.0,-8.16,1.13,-25.32%,90571022.0,03/11/2022,2022-09-15
0,OIBRc,0.1,0.1-0.6,7690000000.0,0.1,0.01-1.04,-0.851,0.0,627.3M,0.0005(0.53%),462742.0,-0.469,1.4,-89.58%,5957176019.0,16/11/2022,2022-09-15
0,FCF,13.26,13.22-13.49,196.37M,13.28,12.36-17.63,1.35,422983.0,1250000000.0,0.48(3.57%),400385.0,9.92,1.02,6.16%,93065730.0,25/10/2022,2022-09-15
0,FR,51.48,50.76-51.56,530M,51.21,45.79-66.74,2.36,1463706.0,6890000000.0,1.18(2.32%),942664.0,21.12,0.964,-4.7%,135197269.0,19/10/2022,2022-09-15
0,RPT,9.09,9.07-9.26,223.36M,9.08,8.95-14.99,0.249,437275.0,792.08M,0.52(5.70%),407482.0,46.05,1.52,-28.54%,86856753.0,02/11/2022,2022-09-15
0,BAH,95.1,92.14-94.71,8380000000.000001,94.28,69.68-99.32,3.82,879043.0,12240000000.0,1.72(1.86%),891430.0,25.34,0.632,18.92%,132327822.0,04/11/2022,2022-09-15
0,HE,38.83,37.93-38.6,3210000000.0,38.6,37.93-44.72,2.19,469623.0,4170000000.0,1.40(3.61%),370135.0,18.1,0.293,-5.91%,109431346.0,04/11/2022,2022-09-15
0,HLX,4.61,4.29-4.56,662.11M,4.46,2.47-5.78,-0.776,2236383.0,688.85M,N/A(N/A),2261917.0,-5.57,2.93,22.28%,151729078.0,24/10/2022,2022-09-15
0,MITT,5.85,5.62-5.881,13.32M,5.84,5.62-13.489,-1.69,323748.0,127.59M,0.84(14.81%),168335.0,-3.51,1.6,-43.91%,22502073.0,09/11/2022,2022-09-15
0,PFS,22.88,22.73-23.34,248.35M,22.77,21.26-26.2,2.08,264905.0,1730000000.0,0.96(4.14%),269851.0,11.11,0.876,3.58%,74378997.0,28/10/2022,2022-09-15
0,RGA,130.58,129.73-132.8,16180000000.0,130.19,94.32-132.8,4.0,341364.0,8750000000.0,3.20(2.45%),319236.0,32.09,1.0,15.43%,67007268.0,03/11/2022,2022-09-15
0,AI,3.11,3.1-3.167,29.53M,3.1,3.1-53.82,-0.057,25437.0,91.01M,N/A(N/A),2126010.0,-57.49,1.5,-93.59%,28890953.0,08/11/2022,2022-09-15
0,BAM,49.73,48.74-50.04,88880000000.0,49.28,42.21-62.47,2.38,1310357.0,76020000000.0,0.56(1.15%),1397665.0,21.55,1.41,-9.91%,1559404343.0,10/11/2022,2022-09-15
0,CEA,16.82,16.36-16.77,51770000000.0,16.66,15.77-21.63,-1.43,8479.0,14280000000.0,N/A(N/A),4511.0,-3.59,0.778,-14.58%,18874440078.0,29/10/2022,2022-09-15
0,CHH,117.11,116.77-119.46,1230000000.0,117.34,106.85-157.46,6.36,496727.0,6510000000.0,0.95(0.81%),366674.0,17.95,1.32,-3.1%,55387479.0,03/11/2022,2022-09-15
0,ELS,71.68,70.41-71.8,1380000000.0,71.53,67.57-88.7,1.52,868910.0,13800000000.0,1.64(2.32%),902195.0,47.61,0.603,-14.28%,195373338.0,17/10/2022,2022-09-15
0,EVC,4.65,4.51-4.685,851.77M,4.61,4.21-9.34,0.308,260512.0,392.45M,0.10(2.16%),234502.0,16.52,0.945,-30.39%,84945873.0,10/11/2022,2022-09-15
0,EVRI,17.63,17.53-18.04,721.53M,17.59,15.05-26.61,1.76,446151.0,1590000000.0,N/A(N/A),631257.0,11.65,2.5,-19.17%,89849846.0,08/11/2022,2022-09-15
