,Name,Allocation
623,South32 Ltd.,0.03%
624,PT Bank Mandiri (Persero) Tbk,0.03%
625,Impala Platinum Holdings Limited,0.03%
626,China Steel Corporation,0.03%
627,West Japan Railway Company,0.03%
628,"Rakuten, Inc.",0.03%
629,WSP Global Inc.,0.03%
630,Samba Financial Group,0.03%
631,"Nippon Prologis REIT, Inc.",0.03%
632,China Conch Venture Holdings Ltd.,0.03%
633,Burberry Group plc,0.03%
634,"China Merchants Bank Co., Ltd. Class A",0.03%
635,Publicis Groupe SA,0.03%
636,Kingfisher Plc,0.03%
637,Covestro AG,0.03%
638,Berkeley Group Holdings plc,0.03%
639,"SG Holdings Co., Ltd.",0.03%
640,New World Development Co. Ltd.,0.03%
641,"SK Innovation Co., Ltd",0.03%
642,Wharf Real Estate Investment Co. Ltd.,0.03%
643,PT Astra International Tbk,0.03%
644,Northern Star Resources Ltd,0.03%
645,Moncler SpA,0.03%
646,Swiss Prime Site AG,0.03%
647,Standard Life Aberdeen PLC,0.03%
648,United Utilities Group PLC,0.03%
649,Rightmove plc,0.03%
650,Severn Trent Plc,0.03%
651,AGL Energy Limited,0.03%
652,"Advanced Info Service Public Co., Ltd. NVDR",0.03%
653,"Kintetsu Group Holdings Co., Ltd.",0.03%
654,Smiths Group Plc,0.03%
655,Origin Energy Limited,0.03%
656,Hartalega Holdings Bhd.,0.03%
657,Taiwan Cement Corp.,0.03%
658,"Mitsubishi Heavy Industries, Ltd.",0.03%
659,Dr. Reddy's Laboratories Ltd.,0.03%
660,Japan Real Estate Investment Corp.,0.03%
661,NIPPON STEEL CORP.,0.03%
662,MTR Corporation Limited,0.03%
663,HelloFresh SE,0.03%
664,SKF AB Class B,0.03%
665,Ascendas Real Estate Investment Trust,0.03%
666,ASM International N.V.,0.03%
667,PetroChina Company Limited Class H,0.03%
668,Ritchie Bros. Auctioneers Incorporated,0.03%
669,Ubisoft Entertainment SA,0.03%
670,Hargreaves Lansdown plc,0.03%
671,Orkla ASA,0.03%
672,Tele2 AB Class B,0.03%
673,Mahindra & Mahindra Ltd.,0.03%
674,Yara International ASA,0.03%
675,Boliden AB,0.03%
676,Pan American Silver Corp.,0.03%
677,FinecoBank SpA,0.03%
678,Getlink SE,0.03%
679,First Financial Holding Co. Ltd.,0.03%
680,Eiffage SA,0.03%
681,TELUS Corporation,0.03%
682,PUMA SE,0.03%
683,"Odakyu Electric Railway Co., Ltd.",0.03%
684,"Osaka Gas Co., Ltd.",0.03%
685,Barratt Developments PLC,0.03%
686,LG Corp,0.03%
687,Aroundtown SA,0.03%
688,NTT DATA Corporation,0.03%
689,Skanska AB Class B,0.03%
690,TeamViewer AG,0.03%
691,Dexus,0.03%
692,"Resona Holdings, Inc.",0.03%
693,"Sumitomo Metal Mining Co., Ltd.",0.03%
694,NatWest Group Plc,0.03%
695,Hana Financial Group Inc.,0.03%
