Symbol,Date,Open,High,Low,Close,Volume
DSIS,18-Sep-2020,727.22,730.59,713.45,721.6,135150900
DSIT,18-Sep-2020,1366.15,1382.21,1354.68,1356.2,45661100
DSIU,18-Sep-2020,276.59,278.69,274.71,275.14,13947600
DSIV,18-Sep-2020,847.96,849.35,831.4,839,32232400
DSIX,18-Sep-2020,596.54,601.83,593.55,594.26,82018000
DSLE,18-Sep-2020,780.96,786.9,769.04,782.59,90061000
DSLG,18-Sep-2020,1758.72,1768.25,1719.67,1727.43,23187800
DSLW,18-Sep-2020,1137.34,1139.37,1116.45,1124.95,0
DSMC,18-Sep-2020,1831.35,1842.39,1812.13,1826.24,153250600
DSME,18-Sep-2020,1024.46,1031.06,1005.7,1018.26,243111000
DSMF,18-Sep-2020,6.56,6.62,6.44,6.49,31539500
DSMG,18-Sep-2020,137.54,138.72,133.91,134.25,19357600
DSMR,18-Sep-2020,35.44,35.67,35.03,35.07,89836400
DSMS,18-Sep-2020,1055.27,1070.38,1042.25,1049.7,13336800
DSMT,18-Sep-2020,132.22,132.65,128.77,130.25,1497600
DSMU,18-Sep-2020,204.06,204.48,200.93,201.58,31861200
DSNC,18-Sep-2020,753.29,755.97,740.04,746.66,729303300
DSNF,18-Sep-2020,227.81,234.09,226.74,227.41,26610700
DSNG,18-Sep-2020,881.47,885.49,870.41,875.92,363964000
DSNS,18-Sep-2020,2337.92,2343.14,2258.08,2290.39,163497900
DSOG,18-Sep-2020,306.23,306.41,299.97,303.25,370539900
DSOI,18-Sep-2020,121.24,122.98,118.18,119.24,167836100
DSOL,18-Sep-2020,293.23,293.23,286.49,289.67,102059500
DSOQ,18-Sep-2020,195.29,195.29,190.34,191.75,224068300
DSOS,18-Sep-2020,337.77,339.06,332.01,335.57,268480300
DSPB,18-Sep-2020,449.54,453.67,445.26,450.4,23932400
DSPC,18-Sep-2020,332.27,334.9,330.05,330.82,9316100
DSPG,18-Sep-2020,715.04,720.59,704.43,706.68,182438000
DSPL,18-Sep-2020,435.92,435.92,424.22,427.42,56232200
DSPM,18-Sep-2020,148.3,149.59,144.32,144.68,13502900
DSPN,18-Sep-2020,875.94,880.06,867,877.59,294987500
DSPP,18-Sep-2020,104.83,110.73,104.83,108.72,2014300
DSPR,18-Sep-2020,624.62,631.21,623,628.6,149232200
DSRA,18-Sep-2020,889.84,898.43,877.41,886.18,94188900
DSRB,18-Sep-2020,3074.12,3074.12,2960.33,3003.34,54359500
DSRD,18-Sep-2020,661.59,664.92,654.56,660.56,18636100
DSRE,18-Sep-2020,322.55,323.25,316.48,317.02,492866600
DSRH,18-Sep-2020,502.97,504.22,491.82,495.86,9761800
DSRI,18-Sep-2020,132.34,132.64,129.88,130.05,483104800
DSRL,18-Sep-2020,64.7,64.91,63.07,63.1,59675900
DSRN,18-Sep-2020,196.87,197.96,193.83,193.88,34678600
DSRP,18-Sep-2020,446.42,447.94,434.46,439.29,4251300
DSRQ,18-Sep-2020,73.4,73.81,69.97,70.73,112581600
DSRR,18-Sep-2020,2778.73,2807.22,2760.19,2761.86,14085100
DSRS,18-Sep-2020,2244.52,2267.15,2202.01,2237.64,44208800
DSRT,18-Sep-2020,1835.28,1836.16,1782.27,1806.98,324769800
DSRU,18-Sep-2020,2041.95,2052.29,2008.95,2013.79,32647100
DSSB,18-Sep-2020,1158.81,1163.67,1148.64,1152.94,54300500
DSSC,18-Sep-2020,5166.46,5172.27,4981.4,5050.52,270124900
DSSD,18-Sep-2020,738.18,741.87,723.55,729.35,42603500
DSSF,18-Sep-2020,411.18,412.49,404.99,406.64,59608000
DSSP,18-Sep-2020,383.58,386,380.75,383.47,16572600
DSSR,18-Sep-2020,240.04,240.53,235.93,236.6,109936800
DSST,18-Sep-2020,202.91,207.75,202.18,203.74,69998800
DSSV,18-Sep-2020,3644.4,3647.81,3527.72,3586.86,542503900
DSSW,18-Sep-2020,3957.29,3959.88,3830.1,3905.32,341943800
DSTB,18-Sep-2020,596.42,598.32,585.73,585.82,31522800
DSTC,18-Sep-2020,3011.13,3014.86,2911.05,2950.64,1280442000
DSTK,18-Sep-2020,1111,1115.61,1083.54,1092.56,9875500
DSTL,18-Sep-2020,172.63,173.34,171.18,171.89,79707700
DSTP,18-Sep-2020,828.26,829.08,811.74,818.71,0
DSTQ,18-Sep-2020,2698.01,2704.11,2603.44,2628.26,737937900
DSTR,18-Sep-2020,31.9,32.08,30.34,30.45,6914300
DSTS,18-Sep-2020,207.1,207.72,199.77,199.99,6186400
DSTT,18-Sep-2020,622.57,624.82,600.95,606.05,87717600
DSTY,18-Sep-2020,1168.55,1180.23,1153.32,1175.09,85809700
DSUO,18-Sep-2020,288.6,289.05,283.8,284.55,54525300
DSUT,18-Sep-2020,290.2,290.86,285.08,285.68,163187200
DSVE,18-Sep-2020,278.13,278.85,273.1,273.64,108661800
DSVN,18-Sep-2020,457.52,460.36,444.01,450.24,3022000
DSWC,18-Sep-2020,413.79,415.79,409.86,412.52,33862800
DSWU,18-Sep-2020,2895.38,2914.98,2837.06,2840.52,4716100
DTCI,18-Sep-2020,1636.83,1636.83,1599.45,1602.1,0
DTEI,18-Sep-2020,1994.83,1994.83,1948.26,1951.34,0
DTFD,18-Sep-2020,65,75,25,30,0
DTFI,18-Sep-2020,90,90,80,85,0
DTFX,18-Sep-2020,128.05,128.19,127.82,127.82,0
DTOF,18-Sep-2020,95,95,95,95,0
DTOH,18-Sep-2020,90,95,90,90,0
DTTH,18-Sep-2020,65,65,65,65,0
DTTW,18-Sep-2020,75,75,65,65,0
DTWC,18-Sep-2020,21524.4,21565.06,21208.04,21302.39,0
DTWI,18-Sep-2020,64197.04,64299.1,63244.49,63634.35,0
DTWT,18-Sep-2020,18853.14,18977.91,18602.74,18656.58,0
DTWU,18-Sep-2020,3660.78,3666.14,3595.06,3602.71,0
DUBS,18-Sep-2020,72.65,72.99,72.36,72.96,0
DUFD,18-Sep-2020,40,40,6.66,13.33,0
DUFI,18-Sep-2020,33.33,33.33,20,20,0
DUOF,18-Sep-2020,46.66,46.66,33.33,33.33,0
DUOH,18-Sep-2020,40,40,33.33,33.33,0
DUSL,18-Sep-2020,739.92,740.68,724.62,731.07,0
DUSM,18-Sep-2020,1173.38,1176.15,1153.73,1162.01,0
DUSS,18-Sep-2020,1077.97,1078.77,1054.81,1063.74,0
DUTH,18-Sep-2020,20,20,20,20,0
DUTW,18-Sep-2020,60,60,33.33,33.33,0
DVCA,18-Sep-2020,5.77,162.84,5.77,162.84,0
DVCC,18-Sep-2020,1.53,29.97,1.53,28.21,0
DVCE,18-Sep-2020,19.88,1241.67,19.88,1241.67,0
DVCN,18-Sep-2020,170.04,4918.15,170.04,4918.15,0
