Symbol,Date,Open,High,Low,Close,Volume
ECLN,20-Aug-2020,21.1,21.14,21.08,21.14,700
ECNS,20-Aug-2020,44.8321,45.0038,44.83,45.0038,600
ECON,20-Aug-2020,24.71,25.03,24.71,25.02,64700
ECOZ,20-Aug-2020,30.3731,30.3731,30.3731,30.3731,100
EDC,20-Aug-2020,56.05,58.54,55.771,58.41,233800
EDEN,20-Aug-2020,82.91,83.325,82.85,83.23,14000
EDIV,20-Aug-2020,25.34,25.55,25.2801,25.54,33400
EDOG,20-Aug-2020,19.36,19.59,19.36,19.575,3700
EDOW,20-Aug-2020,24.28,24.5,24.28,24.47,4700
EDV,20-Aug-2020,168.21,168.5,167.64,168.02,95800
EDZ,20-Aug-2020,19.51,19.5927,18.71,18.72,289200
EEH,20-Aug-2020,24.8636,24.8636,24.8636,24.8636,0
EELV,20-Aug-2020,20.52,20.67,20.462,20.66,31200
EEM,20-Aug-2020,43.46,44.07,43.37,44.06,38399400
EEMD,20-Aug-2020,18.3956,18.3956,18.3956,18.3956,100
EEMO,20-Aug-2020,15.56,15.79,15.495,15.79,1100
EEMS,20-Aug-2020,42.8,43.3299,42.45,43.3299,25100
EEMV,20-Aug-2020,55.27,55.8,55.14,55.78,384200
EEMX,20-Aug-2020,64.52,65.3454,64.52,65.3454,1600
EES,20-Aug-2020,31.18,31.4548,31.14,31.22,20300
EET,20-Aug-2020,67.53,69.2864,67.346,69.2864,4100
EEV,20-Aug-2020,27.06,27.06,26.34,26.34,19000
EFA,20-Aug-2020,64.35,64.8601,64.29,64.75,19825800
EFAD,20-Aug-2020,38.97,39.35,38.97,39.3111,2600
EFAV,20-Aug-2020,68.67,69.0907,68.46,69.04,885100
EFAX,20-Aug-2020,68.66,69.36,68.66,69.1801,6400
EFG,20-Aug-2020,89.11,89.81,89.0709,89.7,317400
EFIV,20-Aug-2020,31.63,31.8778,31.63,31.8778,1600
EFNL,20-Aug-2020,40.18,40.51,40.18,40.4649,4000
EFO,20-Aug-2020,34.06,34.3383,34.02,34.3383,19900
EFU,20-Aug-2020,17.45,17.45,17.3998,17.3998,1200
EFV,20-Aug-2020,41.59,41.945,41.58,41.9,559700
EFZ,20-Aug-2020,23.65,23.65,23.4895,23.5068,18900
EGPT,20-Aug-2020,25.3,25.3,25.05,25.2631,500
EIDO,20-Aug-2020,19.35,19.57,19.245,19.57,924800
EIM,20-Aug-2020,13.24,13.269,13.19,13.2,73000
EINC,20-Aug-2020,40,40.665,39.53,39.9785,19400
EIRL,20-Aug-2020,41.3061,41.6353,41.275,41.58,2700
EIS,20-Aug-2020,55.5832,55.77,55.5832,55.745,1500
EJAN,20-Aug-2020,27.03,27.105,26.76,27.035,1900
EJUL,20-Aug-2020,25.305,25.355,25.305,25.355,400
EKAR,20-Aug-2020,25.84,26.1443,25.82,26.1443,1600
ELA,20-Aug-2020,4.39,4.39,4.1402,4.31,36900
ELD,20-Aug-2020,32.23,32.72,32.23,32.525,3400
ELLO,20-Aug-2020,27.175,27.175,27.175,27.175,200
ELMD,20-Aug-2020,16.61,16.87,16.13,16.48,87300
EMAG,20-Aug-2020,20.995,20.995,20.995,20.995,0
EMAN,20-Aug-2020,1.58,1.63,1.51,1.53,2740500
EMBD,20-Aug-2020,26.8208,26.84,26.815,26.815,500
EMBH,20-Aug-2020,22.6728,22.6728,22.6728,22.6728,100
EMDV,20-Aug-2020,50.3,50.6675,50.3,50.6675,300
EMFM,20-Aug-2020,16.8177,16.93,16.8177,16.93,200
EMGF,20-Aug-2020,43.48,44.07,43.34,44.02,58400
EMHY,20-Aug-2020,44.25,44.48,44.25,44.45,17100
EMLC,20-Aug-2020,31.08,31.31,31.06,31.31,2706400
EMLP,20-Aug-2020,20.88,20.9,20.772,20.85,428800
EMMF,20-Aug-2020,22.03,22.03,22.03,22.03,100
EMNT,20-Aug-2020,100.81,100.81,100.79,100.805,81200
EMQQ,20-Aug-2020,51.85,52.68,51.74,52.62,190400
EMSG,20-Aug-2020,27.75,28.05,27.64,28.05,3100
EMSH,20-Aug-2020,72.59,72.805,72.59,72.805,100
EMTL,20-Aug-2020,50.04,50.05,49.9767,50.0201,4500
EMTY,20-Aug-2020,29.04,29.33,29.04,29.33,10900
